state,year,Electric Vehicle Registrations by State ,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,latitude,longitude
Colorado,"2,021",37000,1619,3992,39.059811,-105.311104
Connecticut,"2,021",13300,533,1430,41.597782,-72.755371
Delaware,"2,021",3000,134,314,39.318523,-75.507141
District of Columbia,"2,021",3700,291,826,38.897438,-77.026817
Florida,"2,021",95600,2636,6748,27.766279,-81.686783
Georgia,"2,021",34000,1585,3947,33.040619,-83.643074
Hawaii,"2,021",14200,386,839,21.094318,-157.498337
Idaho,"2,021",3500,139,345,44.240459,-114.478828
Illinois,"2,021",36500,1079,2764,40.349457,-88.986137
Indiana,"2,021",10400,357,971,39.849426,-86.258278
Iowa,"2,021",3700,281,584,42.011539,-93.210526
Kansas,"2,021",4500,493,1017,38.5266,-96.726486
Kentucky,"2,021",4200,225,532,37.66814,-84.670067
Louisiana,"2,021",3200,159,385,31.169546,-91.867805
Maine,"2,021",3000,301,639,44.693947,-69.381927
Maryland,"2,021",25600,1257,3430,39.063946,-76.802101
Massachusetts,"2,021",30500,2176,4871,42.230171,-71.530106
Michigan,"2,021",17500,817,1799,43.326618,-84.536095
Minnesota,"2,021",15000,586,1385,45.694454,-93.900192
Mississippi,"2,021",1300,112,433,32.741646,-89.678696
Missouri,"2,021",10000,1047,2188,38.456085,-92.288368
Montana,"2,021",1600,75,212,46.921925,-110.454353
Nebraska,"2,021",2700,182,377,41.12537,-98.268082
Nevada,"2,021",17400,451,1361,38.313515,-117.055374
New Hampshire,"2,021",4000,164,357,43.452492,-71.563896
New Jersey,"2,021",47800,749,2021,40.298904,-74.521011
New Mexico,"2,021",4200,189,461,34.840515,-106.248482
New York,"2,021",51900,2983,7646,42.165726,-74.948051
North Carolina,"2,021",25200,1120,2789,35.630066,-79.806419
North Dakota,"2,021",400,61,139,47.528912,-99.784012
Ohio,"2,021",21200,957,2224,40.388783,-82.764915
Oklahoma,"2,021",7100,313,1089,35.565342,-96.928917
Oregon,"2,021",30300,994,2433,44.572021,-122.070938
Pennsylvania,"2,021",26800,1148,2688,40.590752,-77.209755
Rhode Island,"2,021",2500,255,628,41.680893,-71.51178
South Carolina,"2,021",7400,385,870,33.856892,-80.945007
South Dakota,"2,021",700,58,160,44.299782,-99.438828
Tennessee,"2,021",12200,685,1637,35.747845,-86.692345
Texas,"2,021",80900,2320,5501,31.054487,-97.563461
Utah,"2,021",16500,909,1980,40.150032,-111.862434
Vermont,"2,021",3400,329,878,44.045876,-72.710686
Virginia,"2,021",30700,1139,3302,37.769337,-78.169968
Washington,"2,021",66800,1773,4325,47.400902,-121.490494
West Virginia,"2,021",1000,110,306,38.491226,-80.954453
Wisconsin,"2,021",9300,475,961,44.268543,-89.616508
Wyoming,"2,021",500,70,184,42.755966,-107.30249
Alabama,"2,020",2900,224,598,32.806671,-86.79113
Alaska,"2,020",900,37,68,61.370716,-152.404419
Arizona,"2,020",28800,573,1788,33.729759,-111.431221
Arkansas,"2,020",1300,112,350,34.969704,-92.373123
California,"2,020",425300,7689,34924,36.116203,-119.681564
Colorado,"2,020",24700,1066,3253,39.059811,-105.311104
Connecticut,"2,020",9000,456,1240,41.597782,-72.755371
Delaware,"2,020",1900,70,206,39.318523,-75.507141
District of Columbia,"2,020",2400,189,694,38.897438,-77.026817
Florida,"2,020",58200,1836,5564,27.766279,-81.686783
Georgia,"2,020",23500,1008,3661,33.040619,-83.643074
Hawaii,"2,020",10700,320,759,21.094318,-157.498337
Idaho,"2,020",2300,113,281,44.240459,-114.478828
Illinois,"2,020",26000,805,2360,40.349457,-88.986137
Indiana,"2,020",7000,282,784,39.849426,-86.258278
Iowa,"2,020",2300,188,487,42.011539,-93.210526
Kansas,"2,020",3100,246,950,38.5266,-96.726486
Kentucky,"2,020",2600,168,383,37.66814,-84.670067
Louisiana,"2,020",2000,141,360,31.169546,-91.867805
Maine,"2,020",1900,220,518,44.693947,-69.381927
Maryland,"2,020",18000,884,2776,39.063946,-76.802101
Massachusetts,"2,020",21000,1038,3415,42.230171,-71.530106
Michigan,"2,020",10600,567,1605,43.326618,-84.536095
Minnesota,"2,020",10400,445,1218,45.694454,-93.900192
Mississippi,"2,020",800,104,344,32.741646,-89.678696
Missouri,"2,020",6700,508,2060,38.456085,-92.288368
Montana,"2,020",900,65,188,46.921925,-110.454353
Nebraska,"2,020",1800,115,287,41.12537,-98.268082
Nevada,"2,020",11000,299,1166,38.313515,-117.055374
New Hampshire,"2,020",2700,131,291,43.452492,-71.563896
New Jersey,"2,020",30400,553,1652,40.298904,-74.521011
New Mexico,"2,020",2600,120,376,34.840515,-106.248482
New York,"2,020",32600,2036,6134,42.165726,-74.948051
North Carolina,"2,020",16200,813,2267,35.630066,-79.806419
North Dakota,"2,020",200,42,101,47.528912,-99.784012
Ohio,"2,020",14500,656,1845,40.388783,-82.764915
Oklahoma,"2,020",3400,263,693,35.565342,-96.928917
Oregon,"2,020",22800,745,2121,44.572021,-122.070938
Pennsylvania,"2,020",17500,757,2054,40.590752,-77.209755
Rhode Island,"2,020",1600,148,550,41.680893,-71.51178
South Carolina,"2,020",4400,309,734,33.856892,-80.945007
South Dakota,"2,020",400,45,133,44.299782,-99.438828
Tennessee,"2,020",7800,494,1345,35.747845,-86.692345
Texas,"2,020",52200,1579,4807,31.054487,-97.563461
Utah,"2,020",11200,444,1606,40.150032,-111.862434
Vermont,"2,020",2200,264,793,44.045876,-72.710686
Virginia,"2,020",20500,814,2531,37.769337,-78.169968
Washington,"2,020",50500,1235,3817,47.400902,-121.490494
West Virginia,"2,020",600,93,258,38.491226,-80.954453
Wisconsin,"2,020",6300,381,828,44.268543,-89.616508
Wyoming,"2,020",300,61,172,42.755966,-107.30249
Alabama,"2,019",2000,195,506,32.806671,-86.79113
Alaska,"2,019",700,19,34,61.370716,-152.404419
Arizona,"2,019",19500,522,1476,33.729759,-111.431221
Arkansas,"2,019",900,98,290,34.969704,-92.373123
California,"2,019",349700,6439,27199,36.116203,-119.681564
Colorado,"2,019",19200,861,2516,39.059811,-105.311104
